x,pollutant_concentration,oxygen_concentration
83,5.89401e-06,12
83.1,5.79659e-06,12
83.2,5.70078e-06,12
83.3,5.60656e-06,12
83.4,5.51389e-06,12
83.5,5.42275e-06,12
83.6,5.33312e-06,12
83.7,5.24497e-06,12
83.8,5.15828e-06,12
83.9,5.07302e-06,12
84,4.98917e-06,12
84.1,4.90671e-06,12
84.2,4.82561e-06,12
84.3,4.74585e-06,12
84.4,4.66741e-06,12
84.5,4.59026e-06,12
84.6,4.51439e-06,12
84.7,4.43977e-06,12
84.8,4.36639e-06,12
84.9,4.29422e-06,12
85,4.22324e-06,12
85.1,4.15344e-06,12
85.2,4.08479e-06,12
85.3,4.01727e-06,12
85.4,3.95087e-06,12
85.5,3.88557e-06,12
85.6,3.82135e-06,12
85.7,3.75819e-06,12
85.8,3.69607e-06,12
85.9,3.63498e-06,12
86,3.5749e-06,12
86.1,3.51581e-06,12
86.2,3.4577e-06,12
86.3,3.40055e-06,12
86.4,3.34434e-06,12
86.5,3.28907e-06,12
86.6,3.2347e-06,12
86.7,3.18124e-06,12
86.8,3.12866e-06,12
86.9,3.07694e-06,12
87,3.02609e-06,12
87.1,2.97607e-06,12
87.2,2.92688e-06,12
87.3,2.8785e-06,12
87.4,2.83092e-06,12
87.5,2.78413e-06,12
87.6,2.73812e-06,12
87.7,2.69286e-06,12
87.8,2.64835e-06,12
87.9,2.60458e-06,12
88,2.56153e-06,12
88.1,2.51919e-06,12
88.2,2.47755e-06,12
88.3,2.4366e-06,12
88.4,2.39633e-06,12
88.5,2.35672e-06,12
88.6,2.31777e-06,12
88.7,2.27946e-06,12
88.8,2.24178e-06,12
88.9,2.20473e-06,12
89,2.16829e-06,12
89.1,2.13245e-06,12
89.2,2.0972e-06,12
89.3,2.06254e-06,12
89.4,2.02845e-06,12
89.5,1.99492e-06,12
89.6,1.96195e-06,12
89.7,1.92952e-06,12
89.8,1.89763e-06,12
89.9,1.86626e-06,12
90,1.83541e-06,12
90.1,1.80508e-06,12
90.2,1.77524e-06,12
